predicate,message
balanceof[src] >= wad,
b <= a,invalid opcode: INVALID
univ2pairaddress != address(0) || excluded,Liquidity pair not yet created.
frombalance < value,
amountout < amountoutminimum,
netptout < minptout,Slippage: INSUFFICIENT_YT_OUT
allowance[src][msg.sender] >= wad,
amounts[amounts.length - 1] >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
balance < amountminimum,
_isexcludedfromfees[from] || _isexcludedfromfees[to],Trading is not active.
from == address(0) || to == address(0) || allowedfrom[from] || allowedto[to],Eigen._beforeTokenTransfer: from or to must be whitelisted
closeamounts.payout + closeamounts.liquidationfee > liquidationthreshold,
deadline >= block.timestamp,UniswapV2Router: EXPIRED
returnamount < minreturn,
currentallowance >= amount,ERC20: insufficient allowance
(_value == 0) || (allowance[msg.sender][_spender] == 0),
report.merkleroot == bytes32(0),
amounts[0] <= amountinmax,UniswapV2Router: EXCESSIVE_INPUT_AMOUNT
tx.gasprice > amount,
value < amountminimum,
block.timestamp > permit.deadline,
value <= _balanceof(from),ERC20: transfer amount exceeds balance
ierc20(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
amountout >= params.amountoutminimum,Too little received
tradingallowed,Trading not active
returnamount < desc.minreturnamount,
_excludedfromfees[from] || _excludedfromfees[to],Trading is not active.
(msg.sender == tx.origin) || !icontroller(controller()).greylist(msg.sender),This smart contract has been grey listed
allowed.nonce != nonce,
amountout < minamountout,
balance >= amount,Insufficient balance
fillstatuses[relayhash] == uint256(fillstatus.filled),
amount0out > 0 || amount1out > 0,UniswapV2: INSUFFICIENT_OUTPUT_AMOUNT
uint256(digest) > miningtarget,
returndata.length > 0,ERC20: transfer amount exceeds balance
transfertaxexempt[from] || transfertaxexempt[to],_transfer:: Trading is not active.
!_ispriorityfeevalid(),
numminted[msg.sender] < 10,Address minted 10
balance0adjusted.mul(balance1adjusted) >= uint(_reserve0).mul(_reserve1).mul(1000**2),UniswapV2: K
tradeactivated,Trading not activated
block.timestamp > deadline,
zeroforone ? sqrtpricelimitx96 < slot0start.sqrtpricex96 && sqrtpricelimitx96 > tickmath.min_sqrt_ratio : sqrtpricelimitx96 > slot0start.sqrtpricex96 && sqrtpricelimitx96 < tickmath.max_sqrt_ratio,SPL
!iswithdrawalfinalized[_chainid][_l2batchnumber][_l2messageindex],Withdrawal is already finalized
amountout >= tokeninfo.outputmin,Slippage Limit Exceeded
spender == iethervistafactory(factory).router(),EtherVista: FORBIDDEN
reservein > 0 && reserveout > 0,UniswapV2Library: INSUFFICIENT_LIQUIDITY
owner == address(0),
bridgerelays[transactionid],
balanceoutfinal < balanceoutinitial + amountoutmin,
from == owner(),Trading is not enabled
paused() && owner() != sender,
senderbalance >= amount,ERC20: transfer amount exceeds balance
txp <= _gas,Need to optimize gas price when send tx
tickrawdebt * precision * precision >= liquidatedebtratio * tickrawcoll * price,
offset > 60,too close
order.makertraits.isexpired(),
!configuration.getisvirtualaccactive() || ierc20(reserve.atokenaddress).totalsupply() >= amount,26
uint(proposal._status) <= 1,proposal already executed/cancelled
n < 2**96,Lexe::approve: amount exceeds 96 bits
returnamount >= desc.minreturnamount,Return amount is not enough
pendingwithdrawals[withdrawalroot],DelegationManager._completeQueuedWithdrawal: action is not in queue
returnamount >= _baserequest.minreturnamount,Min return not reached
returnamount >= exactinput.minreturnamount,Too little received
orderstate.status != ordertakestatus.notset,
amounttoredeem > getavailabletowithdraw(_assetout),
!((_value != 0) && (allowed[msg.sender][_spender] != 0)),
buyamount < minbuyamount,
!hasclaimed[_msgsender()],Already claimed
block.timestamp > allowed.expiration,
amount > 0,
amountout_ < extras_.amountoutmin,
"!checkinvariant(qx, qy, offchainx, offchainy, maximumx, minimumy)",
extcodesize(token),
"errorselector == bytes4(0x4e487b71) /* `seth sig ""panic(uint256)""` */",
amountout >= amountoutmin,Too little received
nonce != nextnonce[signeraddress]++,
issubmissionused[submissionid],
!allowtransfers && !senderwhitelist[sender] && !recipientwhitelist[recipient],
_sharesamount <= currentsendershares,BALANCE_EXCEEDED
!(originalstate == internal.messageexecutionstate.untouched || originalstate == internal.messageexecutionstate.failure),
vestclaimed >= creator_vest,
_value <= allowed[_from][msg.sender],
msg.sender == weth,invalid opcode: INVALID
frombalance >= amount,ERC20: transfer amount exceeds balance
currentowner > lastowner && owners[currentowner] != address(0) && currentowner != sentinel_owners,GS026
