predicate,message
b <= a,
amountout >= tokeninfo.outputmin,Slippage Limit Exceeded
ierc20(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
amountout < minamountout,
tradingallowed,tradingAllowed
returnamount < desc.minreturnamount,
sellcount < casellallowed,CA balance sell
!isblacklisted[msg.sender],
balance < amountminimum,
amounts[amounts.length - 1] >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
returnamount * desc.amount < desc.minreturnamount * spentamount,
amountout >= amountoutmin,Too little received
amountout < amountoutminimum,
returnamount >= desc.minreturnamount,Return amount is not enough
signer == owner,ERC20Permit: invalid signature
returnamount >= _baserequest.minreturnamount,Min return not reached
returnamount >= exactinput.minreturnamount,Too little received
frombalance >= amount,ERC20: transfer amount exceeds balance
!success,
senderbalance >= amount,ERC20: transfer amount exceeds balance
!hasclaimed[_msgsender()],Already claimed
returndata.length > 0,
_isexcludedfromfees[from] || _isexcludedfromfees[to],Trading is not active.
totalminted + lotsize <= max_supply,Too much minting
expiration == 0 || block.timestamp <= expiration,KS_RFQ: order expired
"ierc20(tokenin).allowance(msg.sender, address(smartvault)) >= amountin",SWAPPER_BAD_ALLOWANCE
amountout >= params.amountoutminimum,Too little received
!((_value != 0) && (allowed[msg.sender][_spender] != 0)),
fillstatuses[relayhash] == uint256(fillstatus.filled),
_excludedfromfees[from] || _excludedfromfees[to],Trading is not active.
amounts[0] <= amountinmax,UniswapV2Router: EXCESSIVE_INPUT_AMOUNT
tradingopen,Trading is not open
frombalance < value,
returnamount < minreturn,
newbalance < _minamount,
reservein > 0 && reserveout > 0,UniswapV2Library: INSUFFICIENT_LIQUIDITY
currentallowance >= amount,ERC20: insufficient allowance
value <= _balanceof(from),ERC20: transfer amount exceeds balance
!_isblacklisted(_account),Blacklistable: account is blacklisted
(from != _dex.pair && to != _dex.pair) || ((from == _dex.pair || to == _dex.pair) && _tradingenabled > 0),Trading disabled
value < amountminimum,
amountin <= params.amountinmaximum,Too much requested
(z = x - y) <= x,ds-math-sub-underflow
balanceweth9 >= amountminimum,Insufficient WETH9
owner() == _msgsender(),Ownable: caller is not the owner
dy >= _min_dy,Exchange resulted in fewer coins than expected
block.timestamp > deadline,
tx.gasprice > amount,
balanceoutfinal < balanceoutinitial + amountoutmin,
success || safetxgas != 0 || gasprice != 0,
n < 2**96,Lexe::approve: amount exceeds 96 bits
order.makertraits.isexpired(),
"amount, frombalance",
balanceof[src] >= wad,
block.timestamp > permit.deadline,
allowed.nonce != nonce,
currentaccinputhash != expectedfinalaccinputhash,
from == _owner || to == _owner,Trading not active yet
amount <= _getfreedbalance(src),Ondo::_transferTokens: not enough unlocked balance
amount > 0,Transfer amount must be greater than zero
quote.deadlinetimestamp < block.timestamp,
launch != 0 && amount <= maxtxamount,Launch / Max TxAmount 2% at launch
!hasminted[msg.sender],Address has already minted
vars.collateralneededinbasecurrency <= vars.usercollateralinbasecurrency,36
tradeenabled,Trading not enabled
uniswapv2pair != from && uniswapv2pair != to,Trading is not active.
roundstatus[_round] == true,Round not ended yet
vars.success,Min return not reached
order.expiry <= block.timestamp,
extcodesize(token),
from == address(0) || to == address(0) || allowedfrom[from] || allowedto[to],Eigen._beforeTokenTransfer: from or to must be whitelisted
deadline >= block.timestamp,UniswapV2Router: EXPIRED
key == uint256(uint160(msg.sender)) * (epoch()**2) + 1,
_isexcludedfromtaxes[from] || _isexcludedfromtaxes[to],Trading is not active.
tradeactivated,Trading not activated
amount <= balanceof(sender),You are trying to transfer more than your balance
amountin > amountinmaximum,
buyamount < minbuyamount,
_isexcludedfromfee[from] || _isexcludedfromfee[to],Trading is not open yet and you are not authorized
!_paused,
"!_validateorderandlisting(order, ordertype.ask, exchange, signature, fees)",
delivered(_id) == false,Mailbox: already delivered
amountin <= amountinmax,Too much requested
amountin_ > extras_.amountinmax,
transfertaxexempt[from] || transfertaxexempt[to],_transfer:: Trading is not active.
self.stakershares[msg.sender][vault] < shares,
finalizedwithdrawals[withdrawalhash] == false,OptimismPortal: withdrawal has already been finalized
request.mintvalue >= basecost + request.l2value,mv
amount0out > 0 || amount1out > 0,UniswapV2: INSUFFICIENT_OUTPUT_AMOUNT
"gt(calldataload(basicorder_starttime_cdptr), timestamp()), iszero(gt(calldataload(basicorder_endtime_cdptr), timestamp()))",
owner() != _msgsender(),
balance0adjusted.mul(balance1adjusted) >= uint(_reserve0).mul(_reserve1).mul(1000**2),UniswapV2: K
!usedclaims[claimleaf],Airdrop: Claim has already been used
zeroforone ? sqrtpricelimitx96 < slot0start.sqrtpricex96 && sqrtpricelimitx96 > tickmath.min_sqrt_ratio : sqrtpricelimitx96 > slot0start.sqrtpricex96 && sqrtpricelimitx96 < tickmath.max_sqrt_ratio,SPL
expiry <= block.timestamp,
msg.sender == weth,invalid opcode: INVALID
!paused(),Pausable: paused
r.hotvars.latestepochandround < epochandround,stale report
univ2pairaddr != address(0) || excluded,Liquidity pair not yet created.
balanceof[msg.sender] < _value,
balanceof(from) >= lockedamount(from) + amount,LM: insufficient balance
errmsg.length != 0,
blocksbetweenmints < 2**epoch,
_value <= balances[msg.sender],
!_freezetokentransfers,Token transfers has been freezed
!initiallyallowedaccounts[msg.sender],
currentallowance < value,
from == owner(),TOKEN: This account cannot send tokens until trading is enabled
mintenabled,Minting is currently disabled
"_isapprovedorowner(_msgsender(), tokenid)",ERC721: transfer caller is not owner nor approved
command.isexecutionlegal(triggerdata),bot/trigger-execution-illegal
signer != validationaddress && (!ismaker || !ordersignerregistry[validationaddress][signer]),
uint(proposal._status) <= 1,proposal already passed/executed/cancelled
expiration != 0 && block.timestamp > expiration,
_value <= balances[_from],There is no enough balance.
!relayedmessages(msgid),
!isvalidleaf,
amount0 >= params.amount0min && amount1 >= params.amount1min,Price slippage check
filteredoperatorsref.contains(operator),
block.timestamp <= gooduntil,Clipper: Expired
orders[fulfillmsg.orderhash].status != status.created,
"!verifyproof(merkleproof, cumulativeamount, msg.sender)",
reservein == 0 || reserveout == 0,
!x,
!data.tradingenabled,
"sub(l[from], 0) == 0",
address(msg.sender).iscontract() && allowedcontracts[msg.sender] || !address(msg.sender).iscontract(),Address: should be allowed
remainingsupply() >= count,sold out!
accumulatedfees == 0,
msg.value >= amount,INSUFFICIENT_VALUE
address(aggregator) != address(0),
!allowtransfers && !senderwhitelist[sender] && !recipientwhitelist[recipient],
!other,Trading not yet enabled!
quote.quoteexpiry >= block.timestamp,HashflowRouter::_validateRFQTQuote Quote has expired.
block.timestamp > allowed.expiration,
remainingmint > 0,MAX MINTED
_holderlasttransferblock[from] < block.number,Anti MEV
_sellcount < 3,Only 3 sells per block!
shares < minsharesout,
to != owner,ERC721: approval to current owner
hasclaimed[msg.sender],
islaunched || isexcludedfromlimits[from] || isexcludedfromlimits[to],
netptout < minptout,Slippage: INSUFFICIENT_YT_OUT
totalnativefee <= msg.value,LayerZero: not enough native for fees
processedexits[exithash] == false,RootChainManager: EXIT_ALREADY_PROCESSED
launch,Not launched
"eq(error, 0xfa61cc1200000000000000000000000000000000000000000000000000000000), 0",err 1
unipair != address(0) || excluded,Liquidity pair not yet created.
block.number > lastexecutedblocknumber,Exceeds the maxWalletSize.
_rewards <= rewardtokenbalance,Not enough reward tokens
_x7w88 < _e242,
tx.gasprice > _gas,
transferamount > 0,Please wait till next claim
hotvars.latestepochandround < epochandround,stale report
_value <= allowed[_from][msg.sender],
order.validto < block.timestamp,
!delegationsupervisor.pendingwithdrawals[withdrawalroot],
msg.sender != local.assignedprover,
balances[msg.sender] >= _value,
asset.balanceof(to) - prevbalance != amount,
oldvalidator == newvalidator,
!mintingcomplete,Minting is complete
block.timestamp < mintstarttime + mint_duration,Minting period has ended
signer != delegatesigner(),
!isapprovedorowner,
tradingenabled,trading not started!!!
totalsupply() + amount > limit,
_hasmingas,SafeCall: Not enough gas
allowance[_from][msg.sender] >= _value,
hasclaimandstaked[to],
amounttopay > maxamountincached,
balanceof[msg.sender] >= wad,
totalsupply() + mint_amount <= max_supply,Total supply exceeded
_block > getbalancesblock(),Network balances for an equal or higher block are set
amounts[0] <= msg.value,UniswapV2Router: EXCESSIVE_INPUT_AMOUNT
_blocktimestamp() <= deadline,Transaction too old
outputamount < amountoutmin,
_amount * price == msg.value,Invalid funds provided
!processedtransaction[chainid][transactionid],Transaction already processed
isexcludedfromfees[from] || isexcludedfromfees[to],Trading is not active.
_balances[_msgsender()] >= amount,TT: transfer amount exceeds balance
amount >= _min_dy,Slippage
shares > maxshares,
msg.sender == ownermain || msg.sender == ownerstakes || msg.sender == ownernormaladdress || msg.sender == ownergenesisbuys || msg.sender == ownerstakebuys || msg.sender == ownerbasetransfers || msg.sender == external1,
cooldown[to] < block.timestamp,
offset > 60,too close
!_sniper[from],Sniper rejected
value <= allowed[from][msg.sender],ERC20: transfer amount exceeds allowance
c >= a,
receivedamount < amountout,
_nonce == _report.timestamps.length || _nonce == 0,nonce must match timestamp index
deadline == type(uint256).max || deadline >= now,FiatTokenV2: permit is expired
flipped & bit == 0,
issubmissionused[submissionid],
univ2pair != address(0) || excluded,Liquidity pair not yet created.
